
類別,中文,族語,英文翻譯,備註
數字,一,cecay,one,
數字,二,tosa,two,
數字,三,tolo,three,
數字,四,sepat,four,
數字,五,lima,five,
數字,六,enem,six,
數字,七,pito,seven,
數字,八,falo,eight,
數字,九,siwa,nine,
數字,十,polo'/mo'etep,ten,
數字,十一,safaw cecay,eleven,
數字,十二,safaw tosa,twelve,
數字,十三,safaw tolo,thirteen,
數字,十四,safaw sepat,fourteen,
數字,十五,safaw lima,fifteen,
數字,十六,safaw enem,sixteen,
數字,十七,safaw pito,seventeen,
數字,十八,safaw falo,eighteen,
數字,十九,safaw siwa,nineteen,
數字,二十,tosa polo',twenty,
數字,二十一,tosa polo' ira ko cecay,twenty-one,
數字,二十二,tosa polo' ira ko tosa,twenty-two,
數字,二十三,tosa polo' ira ko tolo,twenty-three,
數字,二十四,tosa polo ira ko sepat,twenty-four,
數字,二十五,tosa polo' ira ko lima,twenty-five,
數字,三十,tolo polo',thirty,
數字,四十,sepat polo',forty,
數字,五十,lima polo',fifty,
數字,六十,enem polo',sixty,
數字,七十,pito polo',seventy,
數字,八十,falo polo',eighty,
數字,九十,siwa polo',ninety,
代名詞,我,kako,I,
代名詞,我的,no mako,my,
代名詞,你,kiso,you,
代名詞,你的,miso,your,
代名詞,他,nira,he/she,
代名詞,他的,ningra,his/her,
代名詞,我們,kami,we,
代名詞,我們的,niyam,our,
代名詞,你們,kamo,you (plural),
代名詞,你們的,namo,your (plural),
代名詞,他們,cangra,they,
代名詞,他們的,nangra,their,
代名詞,這個,oni,this,
代名詞,那個,kora,that,
代名詞,這裡,ini,here,
代名詞,那裡,iraw,there,
代名詞,咱們,kita,we (inclusive),
代名詞,咱們的,kitanan,our (inclusive),
疑問詞,誰,cima,who,
疑問詞,什麼,maan,what,
疑問詞,多少(歲；物),pina,how many/how much,
疑問詞,多少(人),papina,how many people,
疑問詞,什麼地方；哪裡,sakacowa/icowa,where,
疑問詞,什麼時候；何時,ano hakowa,when,
疑問詞,哪一個,icowaay,which,
疑問詞,為什麼,naw,why,
疑問詞,怎麼；如何,mamaan/masamaan,how,
親屬,爸爸,mama,father,
親屬,媽媽,ina/wina,mother,
親屬,祖父,akong,grandfather,
親屬,祖母,ama,grandmother,
親屬,哥；姊,kaka,elder sibling,
親屬,哥哥,fa'inayan a kaka,elder brother,
親屬,姊姊,fafahiyan a kaka,elder sister,
親屬,弟；妹,safa,younger sibling,
親屬,弟弟,fa'inayan a safa,younger brother,
親屬,妹妹,fafahiyan a safa,younger sister,
親屬,兄弟姊妹,salikaka,siblings,
親屬,伯父；叔叔；舅舅,faki,uncle,
親屬,伯母；嬸嬸；舅母,fai,aunt,
人物,人,tamdaw,person,
人物,老人；長輩,mato'asay,elder,
人物,小孩,wawa,child,
人物,男(人),fa'inayan,male,
人物,女(人),fafahiyan,female,
人物,男孩,fa'inayan a wawa,boy,
人物,女孩,fafahiyan a wawa,girl,
人物,朋友,widang,friend,
人物,老師,singsi,teacher,
人物,學生,mitiliday,student,
人物,醫生,ising,doctor,
人名,名字,ngangan,name,
人名,男子名,Kacaw,male name,
人名,男子名,Namoh,male name,
人名,男子名,Ofad,male name,
人名,女子名,Ohay,female name,
人名,女子名,Panay,female name,
人名,女子名,Saomah,female name,
身體部位,眼睛,mata,eyes,
身體部位,耳朵,tanginga,ears,
身體部位,鼻子,ngoso',nose,
身體部位,嘴巴,ngoyos,mouth,
身體部位,牙齒,wadis,teeth,
身體部位,頭,fongoh,head,
身體部位,頭髮,fokes,hair,
身體部位,臉,pising,face,
身體部位,手,kamay,hand,
身體部位,腳,wa'ay,foot,
身體部位,身體,tatirengan,body,
身體部位,大腿,cepi',thigh,
動物,狗,waco,dog,
動物,貓,posi,cat,
動物,豬,fafoy,pig,
動物,牛,kolong,cow,
動物,羊,siri,sheep,
動物,猴,lotong,monkey,
動物,鼠,'edo,mouse,
動物,雞,koko',chicken,
動物,鳥,'ayam,bird,
動物,魚,futing,fish,
動物,青蛙,takola',frog,
動物,貓頭鷹,ekong,owl,
植物/食物,花,hana,flower,
植物/食物,草,rengos,grass,
植物/食物,樹,kilang,tree,
植物/食物,葉子,papah,leaf,
植物/食物,地瓜,konga,sweet potato,
植物/食物,玉米,'ariray,corn,
植物/食物,稻子,panay,rice plant,
植物/食物,香蕉,pawli,banana,
植物/食物,橘子,mami',orange,
植物/食物,甘蔗,tefos,sugarcane,
植物/食物,米粒,felac,rice grain,
植物/食物,飯,hemay,cooked rice,
植物/食物,芋頭,tali,taro,
植物/食物,南瓜,tamorak,pumpkin,
植物/食物,番石榴,kiyafes,guava,
物品,書,cudad,book,
物品,筆,impic,pen,
物品,橡皮擦,sararop,eraser,
物品,桌子,parad,table,
物品,椅子,'anengan,chair,
物品,錢,payso,money,
物品,衣服,riko',clothes,
物品,雨傘,linay,umbrella,
物品,電話,tingwa,telephone,
物品,球,mali,ball,
物品,帽子,kafong,hat,
物品,鐘,toki,clock,
物品,電腦,tingnaw,computer,
物品,藥,iyo,medicine,
物品,簍子,fakar,basket,
建築/景觀,山,lotok,mountain,
建築/景觀,家,loma',home,
建築/景觀,學校,pitilidan,school,
建築/景觀,太陽,cidal,sun,
建築/景觀,月亮,fulad,moon,
建築/景觀,星星,fu'is,star,
建築/景觀,雲,kadit,cloud,
建築/景觀,彩虹,tilo ni Idek,rainbow,
建築/景觀,天空,kakarayan,sky,
建築/景觀,村莊；部落,niyaro',village,
建築/景觀,門,fawahan,door,
建築/景觀,窗,sasingaran,window,
建築/景觀,溪,'alo,stream,
建築/景觀,水,nanom,water,
建築/景觀,雨水,'orad,rain,
時間,年；歲,miheca/mihecaan,year,
時間,日子；天,romi'ad,day,
時間,天天；常常,romi'ami'ad/pararid,everyday,
時間,現在,anini,now,
時間,今天,anini romi'ad,today,
時間,昨天,nacila,yesterday,
時間,明天,anodafak,tomorrow,
時間,早上,dafak,morning,
時間,晚上,dadaya,evening,
時間,下午,Herek no lahok,afternoon,
時間,時；點鐘,toki,hour/o'clock,
時間,星期日,pilipayan,Sunday,
時間,春天,kacanglahan,spring,
