
類型,中文句型,族語句型,英文翻譯,使用情境,備註
問候語,你好嗎？,Nga'ay ho?,How are you?,日常問候,基本問候用語
問候語,我很好，你呢？,Mamaan aca kiso hani?,I'm fine and you?,回應問候,
問候語,我也很好，謝謝你,Nga'ayay to kako aray,I'm also fine thank you,回應問候,
問候語,再見了！,Arayom!,Goodbye!,道別,
問候語,謝謝！,Aray!,Thank you!,感謝,
問候語,不客氣！,Aka ka ngodo!,You're welcome!,回應感謝,
問姓名,你叫什麼名字？,Cima ko ngangan iso?,What is your name?,詢問姓名,
問姓名,我叫...,Ci ... ko ngangan no mako,My name is...,介紹自己,
問姓名,你爸爸叫什麼名字？,Cima ko ngangan no mama iso?,What is your father's name?,詢問家人姓名,
問姓名,那個人是誰？,Cima kora tamdaw?,Who is that person?,詢問他人身分,
問關係,那個男人是誰？,Cima kora fa'inayan?,Who is that man?,詢問身分,
問關係,他是我的老師,O singsi ako cingra,He is my teacher,介紹關係,
問關係,那個女人是誰？,Cima kora fafahiyan?,Who is that woman?,詢問身分,
問關係,她是我的姊姊,O kaka ako cingra,She is my elder sister,介紹關係,
問數量,你們家有幾個人？,Papina ko tamdaw no loma' namo?,How many people in your family?,詢問人數,
問數量,我們家有五個人,Lalima ko tamdaw no loma' niyam,There are five people in our family,回答人數,
問數量,你有幾個兄弟姊妹？,Papina ko salikaka iso?,How many siblings do you have?,詢問兄弟姊妹,
問數量,我有一個姊姊和一個妹妹,Ira ko cecay fafahiyan a kaka ato cecay fafahiyan a safa,I have one elder sister and one younger sister,回答兄弟姊妹,
問年齡,你幾歲？,Pina to ko mihecaan iso?,How old are you?,詢問年齡,
問年齡,我十五歲,Safaw lima ko mihecaan ako,I am fifteen years old,回答年齡,
問年齡,你爸爸幾歲？,Pina to ko mihecaan no mama iso?,How old is your father?,詢問他人年齡,
問時間,現在是幾點鐘？,Pina to ko toki anini?,What time is it now?,詢問時間,
問時間,現在是四點鐘,Sepat to ko toki anini,It is four o'clock now,回答時間,
問時間,你早上幾點鐘起床？,Pina ko toki lomowad kiso to dafak?,What time do you get up in the morning?,詢問作息,
問時間,我早上六點鐘起床,Enem ko toki lomowad kako to dafak,I get up at six in the morning,回答作息,
問時間,今天是星期幾？,Sakapina romi'ad no mitiliday anini?,What day is today?,詢問星期,
問時間,今天是星期日,Pilipayan anini a romi'ad,Today is Sunday,回答星期,
問地方,我的筆在哪裡？,Icowa ko impic ako?,Where is my pen?,尋找物品,
問地方,你的筆在這裡,Ira ini ko impic iso,Your pen is here,指出位置,
問地方,你爸爸在哪裡？,Icowa ko mama iso?,Where is your father?,詢問人的位置,
問地方,我爸爸在學校裡,Ira i pitilidan ko mama ako,My father is at school,回答位置,
問地方,你現在要去哪裡？,Talacowa kiso anini?,Where are you going now?,詢問去向,
問地方,我正要回家,O maminokay kako,I am going home,回答去向,
問地方,你從哪裡來的？,Na icowaay a tayni kiso?,Where did you come from?,詢問來源,
問地方,我從長濱來的,Na i Kakacawan a tayni kako,I came from Changbin,回答來源,
是非問句,那是地瓜嗎？,O konga kora?,Is that sweet potato?,詢問物品,
是非問句,是，那是地瓜,Hai o konga kora,Yes that is sweet potato,肯定回答,
是非問句,不，那是玉米,Caay o 'ariray kora,No that is corn,否定回答,
是非問句,你是學生嗎？,O mitiliday ho kiso?,Are you a student?,詢問職業,
是非問句,是，我是學生,Hai o mitiliday ho kako,Yes I am a student,肯定回答,
是非問句,你的貓是黑色的嗎？,O kohetingay ko posi iso?,Is your cat black?,詢問顏色,
是非問句,是，我的貓是黑色的,Hai o kohetingay ko posi ako,Yes my cat is black,肯定回答,
擁有句,你有孩子嗎？,Ira ko wawa nira?,Do you have children?,詢問擁有,
擁有句,是，他有孩子,Hai ira ko wawa nira,Yes he has children,肯定回答,
擁有句,你有狗嗎？,Ira ko cecay a waco iso?,Do you have a dog?,詢問寵物,
擁有句,是，我有一隻狗,Hai ira ko cecay a waco ako,Yes I have one dog,肯定回答,
日常動作,起立！,Katomireng!,Stand up!,課堂指令,
日常動作,坐下！,Kamaro'!,Sit down!,課堂指令,
日常動作,請說！,Da kasomowal!,Please speak!,課堂指令,
日常動作,請聽！,Tengilen!,Please listen!,課堂指令,
日常動作,去讀書！,Pisa'osi to!,Go study!,祈使句,
日常動作,別說話！,Aka ka caciyaw!,Don't talk!,禁止指令,
日常動作,別遲到！,Aka ka apac!,Don't be late!,禁止指令,
日常動作,別浪費！,Aka pila'om!,Don't waste!,禁止指令,
進行式,我正在讀書,Misa'osi i matini kako,I am studying,進行中動作,
進行式,我正在洗衣服,Mifaca' to riko' i matini kako,I am washing clothes,進行中動作,
進行式,你正在唱歌嗎？,Romadiw i matini kiso?,Are you singing?,詢問進行中動作,
進行式,我們正在玩耍,Misalamaay i matini kami,We are playing,進行中動作,
連動結構,我會洗衣服,Mafana' mifaca' to riko' kako,I can wash clothes,能力表達,
連動結構,我會讀書,Mafana' misa'osi kako,I can study,能力表達,
連動結構,你會唱歌嗎？,Mafana' a romadiw kiso?,Can you sing?,詢問能力,
連動結構,那些女孩子喜歡看電視,Maolah minengneng to tilifi kora fafahiyan a wawawawa,Those girls like watching TV,喜好表達,
連動結構,你喜歡讀書嗎？,Maolah misa'osi kiso?,Do you like studying?,詢問喜好,
否定句,那不是貓頭鷹,Caayay ko ekong kora,That is not an owl,否定陳述,
否定句,他不是老師,Caayay ko singsi cingra,He is not a teacher,否定陳述,
否定句,我沒有弟弟,Awaay ko fa'inayan a safa ako,I don't have a younger brother,否定擁有,
否定句,我沒有在睡覺,Caayay ka foti' kako,I am not sleeping,否定進行動作,
否定句,我沒帶著雨傘,Caayay pihawikid to linay kako,I didn't bring an umbrella,否定過去動作,
複雜句,如果雨停了，我可以出去玩嗎？,Ano masaesa' ko 'orad manga'ay masadak a misalama kako?,If the rain stops can I go out to play?,條件句,
